rating,category,review,emotion,aspects,sentiment,data source,
5,smart-watches,Alhamdulillah vlo product...ğŸ¥°ğŸ¥°,satisfied,value for money,positive,daraz,
5,smart-watches,duidin age kinsi vlo.sound akdom kom,disappointed,user experience,negative,daraz,
5,smart-watches,ekdom baje scroll button 12 din ar mathai nosto hoi gasa.. onak effect kaj kore na,angry,quality,negative,daraz,
5,smart-watches,choltisa dekhi akhon use kore charge kemon thake sokal a payci,happy,user experience,positive,daraz,
5,smart-watches,alhamdulillah onk vlo.....â¤ï¸,satisfied,quality,positive,daraz,
5,smart-watches,charge hoi naaa vaiiii,disappointed,service,negative,daraz,
4,smart-watches,dam onu jai man valo,satisfied,user experience,positive,daraz,
5,smart-watches,valoy ace,satisfied,user experience,positive,daraz,
4,smart-watches,valo,happy,service,positive,daraz,
1,smart-watches,dam hisabe s erokom valo na onek kisu thik moto kaj kore na,disappointed,quality,negative,daraz,
1,smart-watches,Alhamdulillah valo cilo..,satisfied,user experience,positive,daraz,
1,smart-watches,duplicate product. tk nosto  kew kinben na kinlei dhora. Don't Buy.,disappointed,quality,negative,daraz,
1,smart-watches,Bluetooth problems. problem ta kano,disappointed,service,negative,daraz,
2,smart-watches,Motamuti Valo Bluetooth r sms Sara kichu asay na,happy,service,positive,daraz,
5,smart-watches,valoi,happy,user experience,positive,daraz,
5,smart-watches,ata valo na,disappointed,service,negative,daraz,
5,smart-watches,thanks for all khub e Valo products and packing was very good ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘,satisfied,user experience,positive,daraz,
5,smart-watches,sm to sm paici onk sundor sobai nite paren.,happy,product origin,positive,daraz,
5,smart-watches,valo na Battery te problem,disappointed,service,negative,daraz,
5,smart-watches,alhamdulillah Khub valo,satisfied,user experience,positive,daraz,
5,smart-watches,motamoti Valo chiloğŸ¥°,happy,user experience,positive,daraz,
5,smart-watches,chole ei price e,happy,pricing,positive,daraz,
2,smart-watches,sob thik asa belt quality low and 1 ta belt kom dise jeta besi vlo lagsilo seytai nai,disappointed,quality,negative,daraz,
5,smart-watches,nosto watch dhorai dise akbare faltu,disappointed,quality,negative,daraz,
5,smart-watches,ghorita onek valoi so sobai nite paren...ğŸ–ï¸ğŸ¥°,satisfied,user experience,positive,daraz,
5,smart-watches,GoodğŸ‘ but ledar gula balo nağŸ˜‘,happy,service,positive,daraz,
5,smart-watches,alhamdulillah..,happy,quality,positive,daraz,
5,smart-watches,onek valo. music sound ta aktu kom mone holo dam  onujaye valo.,satisfied,quality,positive,daraz,
5,smart-watches,sob thik but charge khob kom jai 1 din jai na,happy,quality,positive,daraz,
5,smart-watches,kochur ghori,angry,user experience,negative,daraz,
5,smart-watches,dam hisebe khub valo.,satisfied,user experience,positive,daraz,
1,smart-watches,pora baja gho ry cholana oppne hoy na video ny ko kibana,disappointed,quality,negative,daraz,
1,smart-watches,ak bare baje akta watch,disappointed,quality,negative,daraz,
5,smart-watches,onek Valo product 1mas pore review thilam,satisfied,user experience,positive,daraz,
5,smart-watches,motamoti jinista onak Valo apnara chila nita paran,satisfied,user experience,positive,daraz,
5,smart-watches,onek valo product ti eke bare new...,happy,quality,positive,daraz,
4,smart-watches,"Balo ekta products,, apnara nite paren",satisfied,user experience,positive,daraz,